2013,140,CAF,44,Wood and articles of wood; wood charcoal,19408232
2013,144,LKA,44,Wood and articles of wood; wood charcoal,49430376
2013,152,CHL,44,Wood and articles of wood; wood charcoal,2212367813
2013,156,CHN,44,Wood and articles of wood; wood charcoal,12748096361
2013,170,COL,44,Wood and articles of wood; wood charcoal,42994438
2013,174,COM,44,Wood and articles of wood; wood charcoal,797.859
2013,178,COG,44,Wood and articles of wood; wood charcoal,102642056
2013,188,CRI,44,Wood and articles of wood; wood charcoal,65186229
2013,191,HRV,44,Wood and articles of wood; wood charcoal,714179930
2013,196,CYP,44,Wood and articles of wood; wood charcoal,697894.134
2013,203,CZE,44,Wood and articles of wood; wood charcoal,2165874683
2013,204,BEN,44,Wood and articles of wood; wood charcoal,17754799
2013,208,DNK,44,Wood and articles of wood; wood charcoal,847143598
2013,212,DMA,44,Wood and articles of wood; wood charcoal,2988.982
2013,214,DOM,44,Wood and articles of wood; wood charcoal,7107238
2013,218,ECU,44,Wood and articles of wood; wood charcoal,231414174
2013,222,SLV,44,Wood and articles of wood; wood charcoal,8729020.78
2013,231,ETH,44,Wood and articles of wood; wood charcoal,1429938.484
2013,233,EST,44,Wood and articles of wood; wood charcoal,1411959056
2013,242,FJI,44,Wood and articles of wood; wood charcoal,32965379
2013,246,FIN,44,Wood and articles of wood; wood charcoal,3089184451
2013,251,FRA,44,Wood and articles of wood; wood charcoal,2769405113
2013,258,PYF,44,Wood and articles of wood; wood charcoal,291570
2013,266,GAB,44,Wood and articles of wood; wood charcoal,260289656.7
2013,268,GEO,44,Wood and articles of wood; wood charcoal,23275961
2013,270,GMB,44,Wood and articles of wood; wood charcoal,554561.559
2013,275,PSE,44,Wood and articles of wood; wood charcoal,28427812
2013,276,DEU,44,Wood and articles of wood; wood charcoal,8764114134
2013,288,GHA,44,Wood and articles of wood; wood charcoal,474031198
2013,300,GRC,44,Wood and articles of wood; wood charcoal,81530224
2013,304,GRL,44,Wood and articles of wood; wood charcoal,18185.17
2013,308,GRD,44,Wood and articles of wood; wood charcoal,21657.015
2013,320,GTM,44,Wood and articles of wood; wood charcoal,65159062
2013,324,GIN,44,Wood and articles of wood; wood charcoal,25953
2013,328,GUY,44,Wood and articles of wood; wood charcoal,38501205
2013,344,HKG,44,Wood and articles of wood; wood charcoal,433847318
2013,348,HUN,44,Wood and articles of wood; wood charcoal,782937528
2013,352,ISL,44,Wood and articles of wood; wood charcoal,333171
2013,360,IDN,44,Wood and articles of wood; wood charcoal,3634924368
2013,364,IRN,44,Wood and articles of wood; wood charcoal,23359550.33
2013,372,IRL,44,Wood and articles of wood; wood charcoal,483247221.2
2013,376,ISR,44,Wood and articles of wood; wood charcoal,7725000
2013,380,ITA,44,Wood and articles of wood; wood charcoal,1967519779
2013,384,CIV,44,Wood and articles of wood; wood charcoal,208839748.2
2013,388,JAM,44,Wood and articles of wood; wood charcoal,2022782
2013,392,JPN,44,Wood and articles of wood; wood charcoal,126104233
2013,398,KAZ,44,Wood and articles of wood; wood charcoal,5816470
2013,400,JOR,44,Wood and articles of wood; wood charcoal,44984066
2013,404,KEN,44,Wood and articles of wood; wood charcoal,30672712
2013,410,KOR,44,Wood and articles of wood; wood charcoal,93711825
2013,414,KWT,44,Wood and articles of wood; wood charcoal,4930335
2013,417,KGZ,44,Wood and articles of wood; wood charcoal,861372
2013,418,LAO,44,Wood and articles of wood; wood charcoal,115758624
2013,422,LBN,44,Wood and articles of wood; wood charcoal,20161807
2013,426,LSO,44,Wood and articles of wood; wood charcoal,283270.092
2013,428,LVA,44,Wood and articles of wood; wood charcoal,2119880229
2013,440,LTU,44,Wood and articles of wood; wood charcoal,1056224611
2013,442,LUX,44,Wood and articles of wood; wood charcoal,276222359
2013,446,MAC,44,Wood and articles of wood; wood charcoal,273720.126
2013,450,MDG,44,Wood and articles of wood; wood charcoal,5650212.575
2013,454,MWI,44,Wood and articles of wood; wood charcoal,21886694.92
2013,458,MYS,44,Wood and articles of wood; wood charcoal,4357449212
2013,470,MLT,44,Wood and articles of wood; wood charcoal,802737
2013,480,MUS,44,Wood and articles of wood; wood charcoal,1855928
2013,484,MEX,44,Wood and articles of wood; wood charcoal,410924805
2013,490,S19,44,Wood and articles of wood; wood charcoal,210002299
2013,496,MNG,44,Wood and articles of wood; wood charcoal,346008
2013,498,MDA,44,Wood and articles of wood; wood charcoal,8157876
2013,499,MNE,44,Wood and articles of wood; wood charcoal,24379098
2013,500,MSR,44,Wood and articles of wood; wood charcoal,204
2013,504,MAR,44,Wood and articles of wood; wood charcoal,15259847
2013,508,MOZ,44,Wood and articles of wood; wood charcoal,50666975
2013,512,OMN,44,Wood and articles of wood; wood charcoal,8898938
2013,516,NAM,44,Wood and articles of wood; wood charcoal,31969801
2013,524,NPL,44,Wood and articles of wood; wood charcoal,2719452
2013,528,NLD,44,Wood and articles of wood; wood charcoal,1386505385
2013,533,ABW,44,Wood and articles of wood; wood charcoal,87768
2013,540,NCL,44,Wood and articles of wood; wood charcoal,444057
2013,554,NZL,44,Wood and articles of wood; wood charcoal,3168298139
2013,558,NIC,44,Wood and articles of wood; wood charcoal,13478297
2013,566,NGA,44,Wood and articles of wood; wood charcoal,157367589
2013,579,NOR,44,Wood and articles of wood; wood charcoal,550954965
2013,583,FSM,44,Wood and articles of wood; wood charcoal,74060
2013,586,PAK,44,Wood and articles of wood; wood charcoal,52681053
2013,591,PAN,44,Wood and articles of wood; wood charcoal,46220416
2013,600,PRY,44,Wood and articles of wood; wood charcoal,83197026
2013,604,PER,44,Wood and articles of wood; wood charcoal,153029286.6
2013,608,PHL,44,Wood and articles of wood; wood charcoal,3229269967
2013,616,POL,44,Wood and articles of wood; wood charcoal,3907591570
2013,620,PRT,44,Wood and articles of wood; wood charcoal,908044868
2013,626,TLS,44,Wood and articles of wood; wood charcoal,59371
2013,634,QAT,44,Wood and articles of wood; wood charcoal,7435504.875
2013,642,ROU,44,Wood and articles of wood; wood charcoal,2498576841
2013,643,RUS,44,Wood and articles of wood; wood charcoal,7330192043
2013,646,RWA,44,Wood and articles of wood; wood charcoal,201304.192
2013,659,KNA,44,Wood and articles of wood; wood charcoal,2460
2013,662,LCA,44,Wood and articles of wood; wood charcoal,429034
2013,670,VCT,44,Wood and articles of wood; wood charcoal,38202.31
2013,682,SAU,44,Wood and articles of wood; wood charcoal,45341123
2013,686,SEN,44,Wood and articles of wood; wood charcoal,6071096
2013,688,SRB,44,Wood and articles of wood; wood charcoal,253351881
2013,690,SYC,44,Wood and articles of wood; wood charcoal,10182.921
2013,699,IND,44,Wood and articles of wood; wood charcoal,351496784
2013,702,SGP,44,Wood and articles of wood; wood charcoal,113644118.1
2013,703,SVK,44,Wood and articles of wood; wood charcoal,964856608.6
2013,704,VNM,44,Wood and articles of wood; wood charcoal,2028550640
2013,705,SVN,44,Wood and articles of wood; wood charcoal,821758493
2013,710,ZAF,44,Wood and articles of wood; wood charcoal,451583628.8
2013,716,ZWE,44,Wood and articles of wood; wood charcoal,27026368.57
2013,724,ESP,44,Wood and articles of wood; wood charcoal,1530950257
2013,729,SDN,44,Wood and articles of wood; wood charcoal,6024402
2013,740,SUR,44,Wood and articles of wood; wood charcoal,20086142
2013,748,SWZ,44,Wood and articles of wood; wood charcoal,61950731.77
2013,752,SWE,44,Wood and articles of wood; wood charcoal,4424493312
2013,757,CHE,44,Wood and articles of wood; wood charcoal,629854335.5
2013,764,THA,44,Wood and articles of wood; wood charcoal,2180401587
2013,768,TGO,44,Wood and articles of wood; wood charcoal,856357.378
2013,776,TON,44,Wood and articles of wood; wood charcoal,19188
2013,780,TTO,44,Wood and articles of wood; wood charcoal,5048679.478
2013,784,ARE,44,Wood and articles of wood; wood charcoal,256966018.3
2013,788,TUN,44,Wood and articles of wood; wood charcoal,19285700
2013,792,TUR,44,Wood and articles of wood; wood charcoal,715622690
2013,800,UGA,44,Wood and articles of wood; wood charcoal,12824278
2013,804,UKR,44,Wood and articles of wood; wood charcoal,1143721756
2013,807,MKD,44,Wood and articles of wood; wood charcoal,6228104
