year,country_code,country_code_letter,HDI_value,dollar_per_capita
2014,428,LVA,0.85,613.7
2014,440,LTU,0.864,1938.57
2014,442,LUX,0.927,210.44
2014,446,MAC,,0.19
2014,450,MDG,0.497,3.38
2014,454,MWI,0.493,0.03
2014,458,MYS,0.787,1685.26
2014,462,MDV,0.723,0.16
2014,470,MLT,0.881,4935.68
2014,478,MRT,0.532,15.5
2014,480,MUS,0.788,1.24
2014,484,MEX,0.765,347.06
2014,496,MNG,0.735,504.91
2014,498,MDA,0.749,5.63
2014,499,MNE,0.822,102.72
2014,504,MAR,0.645,35.27
2014,508,MOZ,0.438,55.04
2014,512,OMN,0.818,9632.86
2014,516,NAM,0.619,37.68
2014,524,NPL,0.567,0.0
2014,528,NLD,0.931,5773.61
2014,533,ABW,,2.65
2014,540,NCL,,0.12
2014,554,NZL,0.931,291.32
2014,558,NIC,0.638,3.14
2014,562,NER,0.363,14.77
2014,566,NGA,0.513,502.8
2014,579,NOR,0.949,18262.96
2014,586,PAK,0.519,3.02
2014,591,PAN,0.797,0.64
2014,600,PRY,0.731,360.17
2014,604,PER,0.754,157.85
2014,608,PHL,0.693,17.71
2014,616,POL,0.867,233.59
2014,620,PRT,0.847,513.2
2014,634,QAT,0.85,52980.26
2014,642,ROU,0.811,211.1
2014,643,RUS,0.818,2398.83
2014,646,RWA,0.507,8.87
2014,659,KNA,0.827,0.41
2014,662,LCA,0.727,174.36
2014,670,VCT,0.772,0.09
2014,682,SAU,0.836,10067.37
2014,686,SEN,0.501,32.57
2014,688,SRB,0.787,77.61
2014,690,SYC,0.796,6243.45
2014,694,SLE,0.447,0.01
2014,699,IND,0.611,47.51
2014,702,SGP,0.932,12558.12
2014,703,SVK,0.851,713.0
2014,704,VNM,0.693,100.77
2014,705,SVN,0.903,908.43
2014,710,ZAF,0.714,169.14
2014,716,ZWE,0.539,3.26
2014,724,ESP,0.884,505.31
2014,729,SDN,0.511,80.16
2014,740,SUR,0.701,348.39
2014,748,SWZ,0.56,16.95
2014,752,SWE,0.935,1372.65
2014,757,CHE,0.951,423.51
2014,764,THA,0.785,170.69
2014,768,TGO,0.502,11.51
2014,776,TON,0.721,27.46
2014,780,TTO,0.806,6012.89
2014,784,ARE,0.853,12780.04
2014,788,TUN,0.721,196.08
2014,792,TUR,0.812,97.18
2014,800,UGA,0.518,5.06
2014,804,UKR,0.774,43.78
2014,807,MKD,0.769,45.42
2014,818,EGY,0.688,64.29
2014,826,GBR,0.924,851.42
2014,834,TZA,0.506,1.9
2014,842,USA,0.923,488.63
2014,854,BFA,0.403,7.59
2014,858,URY,0.805,30.35
2014,882,WSM,0.707,85.47
2014,887,YEM,0.485,44.63
2014,894,ZMB,0.557,6.7
2015,4,AFG,0.479,0.58
2015,8,ALB,0.797,124.51
2015,12,DZA,0.736,833.3
2015,20,AND,0.856,0.55
2015,24,AGO,0.591,1132.72
2015,28,ATG,0.818,3.22
2015,31,AZE,0.751,1159.37
2015,32,ARG,0.85,33.17
2015,36,AUS,0.933,1994.22
2015,40,AUT,0.91,331.36
2015,44,BHS,0.807,182.56
2015,48,BHR,0.859,3772.65
2015,50,BGD,0.604,1.12
2015,51,ARM,0.769,30.75
2015,52,BRB,0.798,323.27
2015,56,BEL,0.924,1976.7
2015,60,BMU,,0.06
2015,68,BOL,0.688,366.12
2015,70,BIH,0.757,101.63
2015,72,BWA,0.688,13.82
2015,76,BRA,0.752,82.04
2015,84,BLZ,0.714,75.51
2015,90,SLB,0.562,0.01
2015,96,BRN,0.832,13989.83
2015,100,BGR,0.809,392.02
2015,104,MMR,0.557,94.69
2015,108,BDI,0.42,0.04
2015,112,BLR,0.809,821.1
2015,116,KHM,0.564,0.0
2015,120,CMR,0.562,80.8
2015,124,CAN,0.927,2173.01
2015,140,CAF,0.367,0.0
