year,country_code,country_code_letter,HDI_value,dollar_per_capita
2014,484,MEX,0.765,3.32
2014,496,MNG,0.735,0.21
2014,498,MDA,0.749,2.64
2014,499,MNE,0.822,50.57
2014,504,MAR,0.645,0.55
2014,508,MOZ,0.438,4.78
2014,512,OMN,0.818,4.43
2014,516,NAM,0.619,14.72
2014,524,NPL,0.567,0.07
2014,528,NLD,0.931,95.25
2014,533,ABW,,0.73
2014,540,NCL,,1.7
2014,554,NZL,0.931,675.08
2014,558,NIC,0.638,3.32
2014,562,NER,0.363,0.0
2014,566,NGA,0.513,0.48
2014,579,NOR,0.949,119.45
2014,585,PLW,0.777,13.91
2014,586,PAK,0.519,0.25
2014,591,PAN,0.797,15.22
2014,600,PRY,0.731,12.61
2014,604,PER,0.754,5.42
2014,608,PHL,0.693,29.84
2014,616,POL,0.867,110.67
2014,620,PRT,0.847,90.81
2014,634,QAT,0.85,2.29
2014,642,ROU,0.811,124.91
2014,643,RUS,0.818,53.83
2014,646,RWA,0.507,0.07
2014,659,KNA,0.827,0.32
2014,662,LCA,0.727,1.59
2014,670,VCT,0.772,0.26
2014,678,STP,0.584,0.04
2014,682,SAU,0.836,1.48
2014,686,SEN,0.501,0.38
2014,688,SRB,0.787,38.21
2014,690,SYC,0.796,0.13
2014,694,SLE,0.447,0.0
2014,699,IND,0.611,0.27
2014,702,SGP,0.932,23.4
2014,703,SVK,0.851,174.45
2014,704,VNM,0.693,23.07
2014,705,SVN,0.903,440.15
2014,710,ZAF,0.714,9.18
2014,716,ZWE,0.539,1.78
2014,724,ESP,0.884,35.07
2014,729,SDN,0.511,0.01
2014,740,SUR,0.701,46.54
2014,748,SWZ,0.56,58.79
2014,752,SWE,0.935,480.29
2014,757,CHE,0.951,79.64
2014,764,THA,0.785,32.96
2014,768,TGO,0.502,0.13
2014,776,TON,0.721,0.37
2014,780,TTO,0.806,3.34
2014,784,ARE,0.853,31.88
2014,788,TUN,0.721,1.6
2014,792,TUR,0.812,10.87
2014,800,UGA,0.518,0.47
2014,804,UKR,0.774,27.45
2014,807,MKD,0.769,3.65
2014,818,EGY,0.688,0.69
2014,826,GBR,0.924,9.39
2014,834,TZA,0.506,0.67
2014,842,USA,0.923,30.52
2014,854,BFA,0.403,0.0
2014,858,URY,0.805,199.08
2014,882,WSM,0.707,0.25
2014,887,YEM,0.485,0.0
2014,894,ZMB,0.557,0.61
2015,8,ALB,0.797,6.94
2015,12,DZA,0.736,0.0
2015,20,AND,0.856,11.53
2015,24,AGO,0.591,0.47
2015,28,ATG,0.818,3.0
2015,31,AZE,0.751,0.1
2015,32,ARG,0.85,3.07
2015,36,AUS,0.933,52.34
2015,40,AUT,0.91,489.25
2015,44,BHS,0.807,0.59
2015,48,BHR,0.859,23.71
2015,50,BGD,0.604,0.03
2015,51,ARM,0.769,0.42
2015,52,BRB,0.798,0.88
2015,56,BEL,0.924,173.9
2015,60,BMU,,0.08
2015,68,BOL,0.688,4.74
2015,70,BIH,0.757,105.95
2015,72,BWA,0.688,0.91
2015,76,BRA,0.752,11.26
2015,84,BLZ,0.714,13.93
2015,90,SLB,0.562,450.52
2015,96,BRN,0.832,5.9
2015,100,BGR,0.809,50.52
2015,104,MMR,0.557,3.58
2015,108,BDI,0.42,0.02
2015,112,BLR,0.809,73.5
2015,116,KHM,0.564,1.01
2015,120,CMR,0.562,21.63
2015,124,CAN,0.927,327.2
2015,132,CPV,0.658,0.01
2015,140,CAF,0.367,4.0
2015,144,LKA,0.76,2.0
2015,152,CHL,0.846,124.94
2015,156,CHN,0.741,10.29
2015,170,COL,0.758,0.93
2015,178,COG,0.61,19.65
2015,180,COD,0.457,0.42
2015,188,CRI,0.792,14.81
2015,191,HRV,0.844,182.6
2015,196,CYP,0.874,0.31
2015,203,CZE,0.891,179.33
2015,204,BEN,0.509,1.08
2015,208,DNK,0.936,133.56
2015,214,DOM,0.739,1.17
2015,218,ECU,0.764,19.72
2015,222,SLV,0.663,1.15
2015,231,ETH,0.455,0.0
2015,233,EST,0.883,965.41
2015,242,FJI,0.716,49.05
2015,246,FIN,0.93,500.97
2015,251,FRA,0.893,38.91
2015,258,PYF,,0.6
2015,266,GAB,0.692,155.45
2015,268,GEO,0.798,4.88
2015,270,GMB,0.467,1.42
2015,275,PSE,0.71,6.74
2015,276,DEU,0.941,96.3
2015,288,GHA,0.586,9.58
2015,296,KIR,0.625,0.0
2015,300,GRC,0.881,5.44
2015,304,GRL,,0.04
2015,308,GRD,0.786,0.01
2015,320,GTM,0.629,5.13
2015,324,GIN,0.449,0.19
2015,328,GUY,0.686,61.37
2015,340,HND,0.61,6.23
2015,344,HKG,0.936,47.63
2015,348,HUN,0.839,70.62
2015,352,ISL,0.948,1.04
2015,360,IDN,0.698,15.3
2015,364,IRN,0.782,0.27
2015,372,IRL,0.924,92.95
2015,376,ISR,0.899,0.87
2015,380,ITA,0.881,30.2
2015,384,CIV,0.501,6.99
2015,388,JAM,0.712,0.39
2015,392,JPN,0.913,1.49
2015,398,KAZ,0.799,0.09
2015,400,JOR,0.738,1.37
2015,404,KEN,0.575,0.16
2015,410,KOR,0.908,1.76
2015,414,KWT,0.829,1.57
2015,417,KGZ,0.689,0.02
2015,418,LAO,0.604,14.06
2015,422,LBN,0.756,1.88
