year,country_code,country_code_letter,HDI_value,dollar_per_capita
2014,191,HRV,0.842,3.44
2014,203,CZE,0.889,3.64
2014,208,DNK,0.932,1.4
2014,214,DOM,0.728,8.8
2014,218,ECU,0.759,3.48
2014,222,SLV,0.663,0.27
2014,231,ETH,0.445,0.11
2014,233,EST,0.879,3.02
2014,242,FJI,0.715,9.36
2014,246,FIN,0.928,40.55
2014,251,FRA,0.892,4.67
2014,258,PYF,,0.0
2014,266,GAB,0.687,74.72
2014,268,GEO,0.793,67.37
2014,275,PSE,0.698,0.17
2014,276,DEU,0.942,5.16
2014,288,GHA,0.582,5.2
2014,296,KIR,0.612,0.0
2014,300,GRC,0.879,8.21
2014,320,GTM,0.64,53.97
2014,324,GIN,0.436,52.24
2014,328,GUY,0.682,163.66
2014,340,HND,0.603,8.65
2014,344,HKG,0.932,6.36
2014,348,HUN,0.84,0.81
2014,352,ISL,0.946,0.02
2014,360,IDN,0.69,7.41
2014,364,IRN,0.783,15.8
2014,372,IRL,0.918,102.38
2014,376,ISR,0.899,0.36
2014,380,ITA,0.882,6.21
2014,384,CIV,0.499,1.24
2014,388,JAM,0.714,47.19
2014,392,JPN,0.91,1.15
2014,398,KAZ,0.794,146.13
2014,400,JOR,0.737,0.06
2014,410,KOR,0.906,3.05
2014,414,KWT,0.816,0.02
2014,417,KGZ,0.686,7.01
2014,418,LAO,0.597,81.78
2014,422,LBN,0.755,0.03
2014,426,LSO,0.5,0.0
2014,428,LVA,0.85,1.98
2014,440,LTU,0.864,0.62
2014,442,LUX,0.927,17.02
2014,450,MDG,0.497,3.91
2014,454,MWI,0.493,2.41
2014,458,MYS,0.787,24.08
2014,470,MLT,0.881,0.08
2014,478,MRT,0.532,278.23
2014,480,MUS,0.788,0.0
2014,484,MEX,0.765,36.59
2014,496,MNG,0.735,1087.7
2014,499,MNE,0.822,23.92
2014,504,MAR,0.645,6.86
2014,508,MOZ,0.438,7.26
2014,512,OMN,0.818,177.17
2014,516,NAM,0.619,322.01
2014,524,NPL,0.567,0.0
2014,528,NLD,0.931,74.26
2014,533,ABW,,0.03
2014,540,NCL,,948.65
2014,554,NZL,0.931,1.64
2014,558,NIC,0.638,0.03
2014,562,NER,0.363,24.88
2014,566,NGA,0.513,0.14
2014,579,NOR,0.949,84.17
2014,585,PLW,0.777,0.0
2014,586,PAK,0.519,0.48
2014,600,PRY,0.731,0.0
2014,604,PER,0.754,350.83
2014,608,PHL,0.693,27.6
2014,616,POL,0.867,2.85
2014,620,PRT,0.847,55.14
2014,634,QAT,0.85,2.39
2014,642,ROU,0.811,3.92
2014,643,RUS,0.818,22.88
2014,646,RWA,0.507,17.82
