year,country_code,country_code_letter,dollar_value,HDI_value,population
2014,882,WSM,737.0,0.707,200037
2014,887,YEM,495235.0,0.485,30226309
2014,894,ZMB,294681209.3,0.557,15895315
2015,8,ALB,2146195.0,0.797,2880703
2015,12,DZA,506950425.0,0.736,40019529
2015,20,AND,125.241,0.856,72174
2015,24,AGO,869622.04,0.591,28157798
2015,28,ATG,38897.0,0.818,89409
2015,31,AZE,5599897.49,0.751,9649341
2015,32,ARG,278722743.8,0.85,43477012
2015,36,AUS,5480414794.0,0.933,23815995
2015,40,AUT,813685635.0,0.91,8642699
2015,44,BHS,301727.0,0.807,385346
2015,48,BHR,49482378.94,0.859,1370322
2015,50,BGD,22429236.0,0.604,159383179
2015,51,ARM,257110.0,0.769,3004600
2015,52,BRB,40670.0,0.798,278990
2015,56,BEL,2653884430.0,0.924,11274196
2015,60,BMU,3365.0,,63464
2015,68,BOL,32262011.61,0.688,11014705
2015,70,BIH,267947798.0,0.757,3518541
2015,72,BWA,35563592.4,0.688,2203273
2015,76,BRA,3403492953.0,0.752,201675532
2015,84,BLZ,87859.0,0.714,356333
2015,90,SLB,293.0,0.562,639415
2015,96,BRN,526533.0,0.832,422212
2015,100,BGR,283158764.0,0.809,6984225
2015,104,MMR,963550.06,0.557,51089056
2015,108,BDI,22328.0,0.42,11047580
2015,112,BLR,30238600.0,0.809,9461076
2015,116,KHM,303197.0,0.564,15623251
2015,120,CMR,48380648.0,0.562,22763414
2015,124,CAN,4063856263.0,0.927,35704498
2015,144,LKA,9967595.0,0.76,20970000
2015,152,CHL,1214750951.0,0.846,18047625
2015,156,CHN,13445973387.0,0.741,1379860000
2015,170,COL,86353226.0,0.758,46969940
2015,174,COM,456.618,0.556,726682
2015,178,COG,597183.219,0.61,5097581
2015,180,COD,2092139068.0,0.457,81035531
2015,188,CRI,15236683.0,0.792,4818038
2015,191,HRV,18072284.0,0.844,4151725
2015,196,CYP,1420952.19,0.874,1219502
2015,203,CZE,411604539.0,0.891,10546059
2015,204,BEN,42988.829,0.509,11360681
2015,208,DNK,133022984.0,0.936,5683483
2015,214,DOM,12426406.89,0.739,10434829
2015,218,ECU,3855947.0,0.764,16266225
2015,222,SLV,4902244.12,0.663,6183676
2015,231,ETH,104065.896,0.455,103867135
2015,233,EST,81316829.0,0.883,1315407
2015,242,FJI,396937.793,0.716,918578
2015,246,FIN,674219161.0,0.93,5479531
2015,251,FRA,3429333972.0,0.893,66548272
2015,258,PYF,6088.0,,277866
2015,266,GAB,909525.943,0.692,2040989
2015,268,GEO,19754485.38,0.798,3725276
2015,270,GMB,7038.973,0.467,2224529
2015,275,PSE,58084.0,0.71,4270092
2015,276,DEU,8214466026.0,0.941,81686611
2015,288,GHA,14874592.55,0.586,28696068
2015,296,KIR,116.655,0.625,116815
2015,300,GRC,153806941.0,0.881,10820883
2015,308,GRD,35369.224,0.786,114676
2015,320,GTM,25162188.0,0.629,15971743
2015,324,GIN,19688.0,0.449,11767070
2015,328,GUY,8390.488,0.686,758781
2015,340,HND,2411450.0,0.61,9237305
2015,344,HKG,528831332.4,0.936,7291300
2015,348,HUN,387958294.0,0.839,9797755
2015,352,ISL,6233915.0,0.948,330815
2015,360,IDN,557000568.0,0.698,261799249
2015,364,IRN,517239006.0,0.782,82619362
2015,372,IRL,762660383.4,0.924,4701957
2015,376,ISR,943134000.0,0.899,8380100
2015,380,ITA,1839098178.0,0.881,60229605
2015,384,CIV,14664382.94,0.501,25246342
2015,388,JAM,555429001.0,0.712,2802534
2015,392,JPN,3510496723.0,0.913,127141000
2015,398,KAZ,3105803215.0,0.799,18084169
2015,400,JOR,331943585.0,0.738,9544729
2015,404,KEN,89954139.5,0.575,47088526
2015,410,KOR,3544784352.0,0.908,51014947
2015,414,KWT,24530226.91,0.829,3834574
2015,417,KGZ,685826.0,0.689,6040036
2015,418,LAO,157668219.0,0.604,6801645
2015,422,LBN,49557334.18,0.756,6472469
2015,426,LSO,5515.975,0.508,2104611
2015,428,LVA,13361368.59,0.853,1977527
2015,440,LTU,128218278.0,0.865,2911109
2015,442,LUX,1932252.0,0.914,569604
2015,450,MDG,1957106.771,0.499,25426702
2015,454,MWI,83699.449,0.498,17085587
2015,458,MYS,726030941.0,0.792,31232798
2015,470,MLT,1264143.0,0.887,444220
2015,480,MUS,1376550.0,0.791,1262879
2015,484,MEX,925500511.0,0.769,121072306
2015,490,S19,1532809165.0,,
2015,496,MNG,118070.0,0.739,3026864
2015,498,MDA,187553.0,0.749,2835978
2015,499,MNE,97751.0,0.827,624651
2015,500,MSR,185.185,,
2015,504,MAR,1676543740.0,0.656,34607588
2015,508,MOZ,3609502.35,0.445,26547572
2015,512,OMN,29377802.3,0.824,4184895
2015,516,NAM,14314454.0,0.627,2374300
2015,524,NPL,345327.0,0.568,27823629
2015,528,NLD,3994328653.0,0.932,16939923
2015,533,ABW,56854.0,,107906
2015,540,NCL,73859616.0,,283168
2015,554,NZL,11466496.01,0.933,4609400
2015,558,NIC,1267486.0,0.644,6149417
2015,562,NER,54815.0,0.367,19939498
2015,566,NGA,6140910.9,0.52,190671878
2015,579,NOR,677124482.2,0.952,5188607
2015,586,PAK,23196292.0,0.525,217290883
2015,591,PAN,3808009.0,0.802,3960035
2015,600,PRY,551388.0,0.738,6159103
2015,604,PER,320292837.9,0.758,30457600
2015,608,PHL,134887013.0,0.696,105312992
2015,616,POL,788276407.0,0.869,37986412
2015,620,PRT,67664803.91,0.85,10358076
2015,634,QAT,936757619.0,0.852,2344557
2015,642,ROU,233030940.0,0.813,19815616
2015,643,RUS,3843343998.0,0.823,144640716
2015,646,RWA,226521.052,0.509,11640022
2015,659,KNA,8269.444,0.829,47087
2015,662,LCA,67536.0,0.736,174905
2015,682,SAU,1916480937.0,0.842,29816382
2015,686,SEN,164446490.0,0.501,14593331
2015,688,SRB,34968410.0,0.794,7095383
2015,694,SLE,2064061.0,0.438,7037655
2015,699,IND,1251897622.0,0.619,1328024498
2015,702,SGP,411709923.9,0.935,5535002
2015,703,SVK,120724451.9,0.852,5423801
2015,704,VNM,750333100.0,0.697,92823254
2015,705,SVN,173046352.0,0.903,2063531
2015,710,ZAF,921653451.8,0.721,56723537
2015,716,ZWE,2275649.3,0.544,14399013
2015,724,ESP,1312355731.0,0.889,46422303
2015,729,SDN,902173.0,0.514,40024431
2015,748,SWZ,6037708.094,0.577,1142813
2015,752,SWE,446056562.5,0.937,9799186
2015,757,CHE,502912674.3,0.952,8282396
2015,764,THA,554785243.3,0.789,70540795
2015,768,TGO,99510.317,0.51,7663195
2015,780,TTO,1649541190.0,0.812,1349667
2015,784,ARE,93248349.81,0.86,8505237
2015,788,TUN,372960592.0,0.724,11402264
2015,792,TUR,1269425512.0,0.821,78218479
2015,800,UGA,1871982.0,0.525,37531446
2015,804,UKR,967422063.0,0.764,45784896
2015,807,MKD,8406526.72,0.777,1912430
2015,818,EGY,285208814.9,0.695,99597342
2015,826,GBR,2627831545.0,0.923,65088000
2015,834,TZA,4407740.0,0.507,52020962
2015,842,USA,12367717904.0,0.924,321815121
2015,854,BFA,377727.844,0.413,18777487
2015,858,URY,19807293.0,0.807,3368017
2015,882,WSM,14172.0,0.71,201782
2015,887,YEM,18430.0,0.455,31159379
2015,894,ZMB,78587698.93,0.563,16399089
2016,8,ALB,2258481.0,0.795,2876101
2016,12,DZA,347657312.0,0.738,40850721
2016,20,AND,152.592,0.859,72181
2016,24,AGO,1390332.83,0.595,29183070
2016,28,ATG,40932.0,0.822,89969
2016,31,AZE,4743484.4,0.752,9757812
2016,32,ARG,337811826.8,0.848,43900313
2016,36,AUS,4592536166.0,0.936,24190907
2016,40,AUT,764715584.7,0.913,8736668
2016,44,BHS,282847.0,0.809,388055
2016,48,BHR,62737105.83,0.862,1423726
2016,51,ARM,423813.0,0.773,2992300
2016,52,BRB,367456.0,0.801,279598
2016,56,BEL,2198955484.0,0.927,11331422
2016,60,BMU,6468.0,,63449
2016,68,BOL,21087837.36,0.7,11180020
2016,70,BIH,278945420.0,0.767,3473003
2016,72,BWA,39779726.0,0.697,2234776
2016,76,BRA,3301023804.0,0.753,203218114
2016,84,BLZ,426.0,0.72,364705
2016,96,BRN,455884.0,0.83,427564
2016,100,BGR,235218447.5,0.81,6894139
2016,104,MMR,4850426.59,0.567,51495696
2016,108,BDI,140809.0,0.423,11239451
2016,112,BLR,38259200.0,0.809,9469379
2016,116,KHM,120850.0,0.573,15852803
2016,120,CMR,32672541.0,0.566,23454161
2016,124,CAN,3742367612.0,0.928,36110803
2016,144,LKA,8608390.0,0.765,21209000
2016,152,CHL,1489549605.0,0.851,18267221
2016,156,CHN,12134627239.0,0.749,1387790000
2016,170,COL,91057653.0,0.763,47437512
2016,174,COM,10098.241,0.563,741741
2016,178,COG,589769.623,0.606,5222536
2016,180,COD,1661586620.0,0.466,83956415
2016,188,CRI,15171957.0,0.796,4866998
2016,191,HRV,21265407.0,0.85,4106867
2016,192,CUB,2152926.21,0.763,11265612
2016,196,CYP,88762.552,0.881,1237112
2016,203,CZE,392730216.0,0.894,10566332
2016,204,BEN,10811.025,0.508,11697842
2016,208,DNK,219405293.3,0.943,5728010
2016,212,DMA,10876.656,0.728,69606
2016,214,DOM,12298777.36,0.759,10551430
2016,218,ECU,2258761.0,0.761,16505139
2016,222,SLV,4705471.04,0.664,6200800
2016,231,ETH,57410.79,0.465,106718162
2016,233,EST,58774049.33,0.884,1315790
2016,242,FJI,392607.583,0.721,919166
2016,246,FIN,644177778.0,0.931,5495303
2016,251,FRA,3540107584.0,0.896,66724104
2016,258,PYF,16365.67,,279178
2016,266,GAB,2061052.13,0.696,2100306
2016,268,GEO,16640611.27,0.802,3727505
2016,275,PSE,64725.0,0.715,4367088
2016,276,DEU,7823883927.0,0.941,82348669
2016,288,GHA,203963756.0,0.586,29356742
2016,296,KIR,10760.0,0.619,118478
2016,300,GRC,130789662.0,0.877,10775971
2016,304,GRL,7.41,,56186
2016,308,GRD,1854.072,0.787,115130
2016,320,GTM,24394746.0,0.633,16268760
2016,324,GIN,17116.39,0.466,12073030
2016,328,GUY,4338522.0,0.693,763548
2016,340,HND,1846939.0,0.615,9412380
2016,344,HKG,533507577.3,0.939,7336600
2016,348,HUN,373059876.0,0.843,9759755
2016,352,ISL,4534638.0,0.951,335439
