year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2016,512,OMN,0.832,13.22,13.22,0.832,0.008050618585868984,0.7301587301587302,1
2013,586,PAK,0.51,10.33,10.33,0.51,0.0006172998276704651,0.0,3
2014,586,PAK,0.519,10.32,10.32,0.519,0.000591579001517531,0.020408163265306145,3
2018,586,PAK,0.535,10.25,10.25,0.535,0.0004115332184469779,0.05668934240362833,3
2019,586,PAK,0.537,10.26,10.26,0.537,0.00043725404459991207,0.061224489795918435,3
2013,616,POL,0.865,29.28,29.28,0.865,0.04935826538748425,0.8049886621315194,1
2014,616,POL,0.867,35.12,35.12,0.867,0.06437922786079887,0.8095238095238098,1
2015,616,POL,0.869,33.23,33.23,0.869,0.05951799171789397,0.8140589569161001,1
2016,616,POL,0.872,30.64,30.64,0.872,0.05285629774428355,0.8208616780045355,1
2017,616,POL,0.874,24.95,24.95,0.874,0.03822114766326294,0.8253968253968256,1
2018,616,POL,0.876,25.3,25.3,0.876,0.03912137657861571,0.8299319727891159,1
2019,616,POL,0.88,24.25,24.25,0.88,0.03642068983255742,0.8390022675736963,1
2020,616,POL,0.874,52.01,52.01,0.874,0.10782170323310783,0.8253968253968256,1
2018,620,PRT,0.858,13.35,13.35,0.858,0.008384989325857146,0.7891156462585036,1
2019,620,PRT,0.864,10.43,10.43,0.864,0.0008745080891998241,0.8027210884353744,1
2013,600,PRY,0.729,129.75,129.75,0.729,0.30777540574603257,0.4965986394557824,2
2014,600,PRY,0.731,101.27,101.27,0.731,0.23452249286247073,0.5011337868480727,2
2015,600,PRY,0.738,118.12,118.12,0.738,0.27786208493016795,0.5170068027210886,2
2016,600,PRY,0.736,109.42,109.42,0.736,0.25548496617711364,0.5124716553287982,2
2017,600,PRY,0.739,78.75,78.75,0.739,0.17659919236605878,0.5192743764172336,2
2018,600,PRY,0.742,81.89,81.89,0.742,0.18467553177808071,0.526077097505669,2
2019,600,PRY,0.746,109.05,109.05,0.746,0.254533295609455,0.5351473922902497,2
2020,600,PRY,0.742,102.89,102.89,0.742,0.2386892666992464,0.526077097505669,2
2013,642,ROU,0.811,132.66,132.66,0.811,0.31526016615653696,0.6825396825396828,0
2014,642,ROU,0.811,132.54,132.54,0.811,0.3149515162427017,0.6825396825396828,0
2015,642,ROU,0.813,112.33,112.33,0.813,0.26296972658761797,0.6870748299319729,2
2016,642,ROU,0.815,118.09,118.09,0.815,0.27778492245170916,0.6916099773242632,2
2017,642,ROU,0.823,114.72,114.72,0.823,0.2691170040381697,0.7097505668934241,2
2018,642,ROU,0.829,130.87,130.87,0.829,0.3106561382751614,0.7233560090702948,0
2019,642,ROU,0.834,149.57,149.57,0.834,0.35875408318115176,0.7346938775510206,0
2020,642,ROU,0.828,126.99,126.99,0.828,0.3006764577278222,0.7210884353741498,0
2013,643,RUS,0.816,33.05,33.05,0.816,0.05905501684714112,0.6938775510204083,2
2014,643,RUS,0.818,49.13,49.13,0.818,0.10041410530106226,0.6984126984126986,2
2015,643,RUS,0.823,39.08,39.08,0.823,0.07456467501736155,0.7097505668934241,2
2016,643,RUS,0.826,38.67,38.67,0.826,0.07351012114509119,0.7165532879818595,2
2017,643,RUS,0.827,51.56,51.56,0.827,0.10666426605622573,0.7188208616780047,2
